template,sentence
adv_clause,"After the incident, a girl didn’t mark any hair."
complex,"Although it was late, a girl didn’t mark any hair."
simple,A century didn’t take any part.
rel_clause,The century that Sarah saw didn’t take any part.
adv_clause,"After the incident, a century didn’t take any part."
complex,"Although it was late, a century didn’t take any part."
simple,A class didn’t destroy any band.
rel_clause,The class that Mary saw didn’t destroy any band.
adv_clause,"After the incident, a class didn’t destroy any band."
complex,"Although it was late, a class didn’t destroy any band."
simple,A year didn’t produce any season.
rel_clause,The year that Sarah saw didn’t produce any season.
adv_clause,"After the incident, a year didn’t produce any season."
complex,"Although it was late, a year didn’t produce any season."
simple,A state didn’t pick any home.
rel_clause,The state that John saw didn’t pick any home.
adv_clause,"After the incident, a state didn’t pick any home."
complex,"Although it was late, a state didn’t pick any home."
simple,A hair didn’t draw any level.
rel_clause,The hair that David saw didn’t draw any level.
adv_clause,"After the incident, a hair didn’t draw any level."
complex,"Although it was late, a hair didn’t draw any level."
simple,A place didn’t sell any land.
rel_clause,The place that John saw didn’t sell any land.
adv_clause,"After the incident, a place didn’t sell any land."
complex,"Although it was late, a place didn’t sell any land."
simple,A project didn’t mark any day.
rel_clause,The project that Sarah saw didn’t mark any day.
adv_clause,"After the incident, a project didn’t mark any day."
complex,"Although it was late, a project didn’t mark any day."
simple,A girl didn’t destroy any career.
rel_clause,The girl that John saw didn’t destroy any career.
adv_clause,"After the incident, a girl didn’t destroy any career."
complex,"Although it was late, a girl didn’t destroy any career."
simple,A form didn’t face any election.
rel_clause,The form that Sarah saw didn’t face any election.
adv_clause,"After the incident, a form didn’t face any election."
complex,"Although it was late, a form didn’t face any election."
simple,A hair didn’t throw any arm.
rel_clause,The hair that David saw didn’t throw any arm.
adv_clause,"After the incident, a hair didn’t throw any arm."
complex,"Although it was late, a hair didn’t throw any arm."
simple,A court didn’t send any program.
rel_clause,The court that Mary saw didn’t send any program.
adv_clause,"After the incident, a court didn’t send any program."
complex,"Although it was late, a court didn’t send any program."
simple,A school didn’t create any period.
rel_clause,The school that Mary saw didn’t create any period.
adv_clause,"After the incident, a school didn’t create any period."
complex,"Although it was late, a school didn’t create any period."
simple,A heart didn’t defeat any record.
rel_clause,The heart that John saw didn’t defeat any record.
adv_clause,"After the incident, a heart didn’t defeat any record."
complex,"Although it was late, a heart didn’t defeat any record."
simple,A man didn’t lift any arm.
rel_clause,The man that Mary saw didn’t lift any arm.
adv_clause,"After the incident, a man didn’t lift any arm."
complex,"Although it was late, a man didn’t lift any arm."
simple,A wife didn’t protect any thing.
rel_clause,The wife that Alex saw didn’t protect any thing.
adv_clause,"After the incident, a wife didn’t protect any thing."
complex,"Although it was late, a wife didn’t protect any thing."
simple,A position didn’t tell any project.
rel_clause,The position that Sarah saw didn’t tell any project.
adv_clause,"After the incident, a position didn’t tell any project."
complex,"Although it was late, a position didn’t tell any project."
simple,A game didn’t occupy any rock.
rel_clause,The game that Alex saw didn’t occupy any rock.
adv_clause,"After the incident, a game didn’t occupy any rock."
complex,"Although it was late, a game didn’t occupy any rock."
simple,A heart didn’t shape any side.
rel_clause,The heart that David saw didn’t shape any side.
adv_clause,"After the incident, a heart didn’t shape any side."
complex,"Although it was late, a heart didn’t shape any side."
simple,A country didn’t cross any woman.
rel_clause,The country that Mary saw didn’t cross any woman.
adv_clause,"After the incident, a country didn’t cross any woman."
complex,"Although it was late, a country didn’t cross any woman."
simple,A century didn’t fix any division.
rel_clause,The century that Alex saw didn’t fix any division.
adv_clause,"After the incident, a century didn’t fix any division."
complex,"Although it was late, a century didn’t fix any division."
simple,A court didn’t spend any rock.
rel_clause,The court that Mary saw didn’t spend any rock.
adv_clause,"After the incident, a court didn’t spend any rock."
complex,"Although it was late, a court didn’t spend any rock."
simple,A land didn’t score any head.
rel_clause,The land that David saw didn’t score any head.
adv_clause,"After the incident, a land didn’t score any head."
complex,"Although it was late, a land didn’t score any head."
simple,A record didn’t represent any air.
rel_clause,The record that Alex saw didn’t represent any air.
adv_clause,"After the incident, a record didn’t represent any air."
complex,"Although it was late, a record didn’t represent any air."
simple,A level didn’t bring any player.
rel_clause,The level that David saw didn’t bring any player.
adv_clause,"After the incident, a level didn’t bring any player."
complex,"Although it was late, a level didn’t bring any player."
simple,A role didn’t obtain any state.
rel_clause,The role that Mary saw didn’t obtain any state.
adv_clause,"After the incident, a role didn’t obtain any state."
complex,"Although it was late, a role didn’t obtain any state."
simple,A championship didn’t build any thing.
rel_clause,The championship that Sarah saw didn’t build any thing.
adv_clause,"After the incident, a championship didn’t build any thing."
complex,"Although it was late, a championship didn’t build any thing."
simple,A form didn’t send any age.
rel_clause,The form that Alex saw didn’t send any age.
adv_clause,"After the incident, a form didn’t send any age."
complex,"Although it was late, a form didn’t send any age."
simple,A form didn’t attack any arm.
rel_clause,The form that Mary saw didn’t attack any arm.
adv_clause,"After the incident, a form didn’t attack any arm."
complex,"Although it was late, a form didn’t attack any arm."
simple,A music didn’t cut any election.
rel_clause,The music that David saw didn’t cut any election.
adv_clause,"After the incident, a music didn’t cut any election."
complex,"Although it was late, a music didn’t cut any election."
simple,A period didn’t throw any woman.
rel_clause,The period that David saw didn’t throw any woman.
adv_clause,"After the incident, a period didn’t throw any woman."
complex,"Although it was late, a period didn’t throw any woman."
simple,A university didn’t transfer any state.
rel_clause,The university that Mary saw didn’t transfer any state.
adv_clause,"After the incident, a university didn’t transfer any state."
complex,"Although it was late, a university didn’t transfer any state."
simple,A district didn’t defeat any day.
rel_clause,The district that John saw didn’t defeat any day.
adv_clause,"After the incident, a district didn’t defeat any day."
complex,"Although it was late, a district didn’t defeat any day."
simple,A light didn’t shape any project.
rel_clause,The light that Sarah saw didn’t shape any project.
adv_clause,"After the incident, a light didn’t shape any project."
complex,"Although it was late, a light didn’t shape any project."
simple,A part didn’t reduce any program.
rel_clause,The part that Sarah saw didn’t reduce any program.
adv_clause,"After the incident, a part didn’t reduce any program."
complex,"Although it was late, a part didn’t reduce any program."
simple,A mind didn’t draw any football.
rel_clause,The mind that Sarah saw didn’t draw any football.
adv_clause,"After the incident, a mind didn’t draw any football."
complex,"Although it was late, a mind didn’t draw any football."
simple,A director didn’t finish any government.
rel_clause,The director that Sarah saw didn’t finish any government.
adv_clause,"After the incident, a director didn’t finish any government."
complex,"Although it was late, a director didn’t finish any government."
simple,A championship didn’t take any version.
rel_clause,The championship that Mary saw didn’t take any version.
adv_clause,"After the incident, a championship didn’t take any version."
complex,"Although it was late, a championship didn’t take any version."
simple,A game didn’t support any championship.
rel_clause,The game that Alex saw didn’t support any championship.
adv_clause,"After the incident, a game didn’t support any championship."
complex,"Although it was late, a game didn’t support any championship."
simple,A thing didn’t kill any football.
rel_clause,The thing that Mary saw didn’t kill any football.
adv_clause,"After the incident, a thing didn’t kill any football."
complex,"Although it was late, a thing didn’t kill any football."
simple,A city didn’t ask any form.
rel_clause,The city that John saw didn’t ask any form.
adv_clause,"After the incident, a city didn’t ask any form."
complex,"Although it was late, a city didn’t ask any form."
simple,A name didn’t pull any man.
rel_clause,The name that John saw didn’t pull any man.
adv_clause,"After the incident, a name didn’t pull any man."
complex,"Although it was late, a name didn’t pull any man."
simple,A line didn’t present any team.
rel_clause,The line that Alex saw didn’t present any team.
adv_clause,"After the incident, a line didn’t present any team."
complex,"Although it was late, a line didn’t present any team."
simple,A power didn’t drive any record.
rel_clause,The power that David saw didn’t drive any record.
adv_clause,"After the incident, a power didn’t drive any record."
complex,"Although it was late, a power didn’t drive any record."
simple,A arm didn’t change any position.
rel_clause,The arm that David saw didn’t change any position.
adv_clause,"After the incident, a arm didn’t change any position."
complex,"Although it was late, a arm didn’t change any position."
simple,A law didn’t reduce any director.
rel_clause,The law that Mary saw didn’t reduce any director.
adv_clause,"After the incident, a law didn’t reduce any director."
complex,"Although it was late, a law didn’t reduce any director."
simple,A place didn’t draw any light.
rel_clause,The place that David saw didn’t draw any light.
adv_clause,"After the incident, a place didn’t draw any light."
complex,"Although it was late, a place didn’t draw any light."
simple,A form didn’t answer any band.
rel_clause,The form that Mary saw didn’t answer any band.
adv_clause,"After the incident, a form didn’t answer any band."
complex,"Although it was late, a form didn’t answer any band."
simple,A story didn’t award any road.
rel_clause,The story that John saw didn’t award any road.
adv_clause,"After the incident, a story didn’t award any road."
complex,"Although it was late, a story didn’t award any road."
simple,A force didn’t grant any society.
rel_clause,The force that Alex saw didn’t grant any society.
adv_clause,"After the incident, a force didn’t grant any society."
complex,"Although it was late, a force didn’t grant any society."
simple,A director didn’t provide any election.
rel_clause,The director that Mary saw didn’t provide any election.
adv_clause,"After the incident, a director didn’t provide any election."
complex,"Although it was late, a director didn’t provide any election."
simple,A room didn’t gain any mind.
rel_clause,The room that Sarah saw didn’t gain any mind.
adv_clause,"After the incident, a room didn’t gain any mind."
complex,"Although it was late, a room didn’t gain any mind."
simple,A brother didn’t oppose any story.
rel_clause,The brother that David saw didn’t oppose any story.
adv_clause,"After the incident, a brother didn’t oppose any story."
complex,"Although it was late, a brother didn’t oppose any story."
simple,A system didn’t kill any force.
rel_clause,The system that Alex saw didn’t kill any force.
adv_clause,"After the incident, a system didn’t kill any force."
complex,"Although it was late, a system didn’t kill any force."
simple,A championship didn’t obtain any age.
rel_clause,The championship that Alex saw didn’t obtain any age.
adv_clause,"After the incident, a championship didn’t obtain any age."
complex,"Although it was late, a championship didn’t obtain any age."
simple,A development didn’t present any life.
rel_clause,The development that Alex saw didn’t present any life.
adv_clause,"After the incident, a development didn’t present any life."
complex,"Although it was late, a development didn’t present any life."
simple,A life didn’t award any day.
rel_clause,The life that Mary saw didn’t award any day.
adv_clause,"After the incident, a life didn’t award any day."
complex,"Although it was late, a life didn’t award any day."
simple,A site didn’t feature any eye.
rel_clause,The site that John saw didn’t feature any eye.
adv_clause,"After the incident, a site didn’t feature any eye."
complex,"Although it was late, a site didn’t feature any eye."
simple,A position didn’t set any grind.
rel_clause,The position that John saw didn’t set any grind.
adv_clause,"After the incident, a position didn’t set any grind."
complex,"Although it was late, a position didn’t set any grind."
simple,A region didn’t occupy any brother.
rel_clause,The region that Mary saw didn’t occupy any brother.
adv_clause,"After the incident, a region didn’t occupy any brother."
complex,"Although it was late, a region didn’t occupy any brother."
simple,A record didn’t conduct any story.
rel_clause,The record that John saw didn’t conduct any story.
adv_clause,"After the incident, a record didn’t conduct any story."
complex,"Although it was late, a record didn’t conduct any story."
simple,A game didn’t form any championship.
rel_clause,The game that John saw didn’t form any championship.
adv_clause,"After the incident, a game didn’t form any championship."
complex,"Although it was late, a game didn’t form any championship."
simple,A form didn’t thank any student.
rel_clause,The form that John saw didn’t thank any student.
adv_clause,"After the incident, a form didn’t thank any student."
complex,"Although it was late, a form didn’t thank any student."
simple,A band didn’t pay any summer.
rel_clause,The band that David saw didn’t pay any summer.
adv_clause,"After the incident, a band didn’t pay any summer."
complex,"Although it was late, a band didn’t pay any summer."
simple,A thing didn’t pull any eye.
rel_clause,The thing that Mary saw didn’t pull any eye.
adv_clause,"After the incident, a thing didn’t pull any eye."
complex,"Although it was late, a thing didn’t pull any eye."
simple,A band didn’t ask any office.
rel_clause,The band that Sarah saw didn’t ask any office.
adv_clause,"After the incident, a band didn’t ask any office."
complex,"Although it was late, a band didn’t ask any office."
simple,A brother didn’t oppose any home.
rel_clause,The brother that David saw didn’t oppose any home.
adv_clause,"After the incident, a brother didn’t oppose any home."
complex,"Although it was late, a brother didn’t oppose any home."
simple,A war didn’t include any system.
rel_clause,The war that David saw didn’t include any system.
adv_clause,"After the incident, a war didn’t include any system."
complex,"Although it was late, a war didn’t include any system."
simple,A home didn’t transfer any age.
rel_clause,The home that David saw didn’t transfer any age.
adv_clause,"After the incident, a home didn’t transfer any age."
complex,"Although it was late, a home didn’t transfer any age."
simple,A society didn’t tell any region.
rel_clause,The society that Sarah saw didn’t tell any region.
adv_clause,"After the incident, a society didn’t tell any region."
complex,"Although it was late, a society didn’t tell any region."
simple,A century didn’t kill any system.
rel_clause,The century that Alex saw didn’t kill any system.
adv_clause,"After the incident, a century didn’t kill any system."
complex,"Although it was late, a century didn’t kill any system."
simple,A region didn’t launch any use.
rel_clause,The region that Alex saw didn’t launch any use.
adv_clause,"After the incident, a region didn’t launch any use."
complex,"Although it was late, a region didn’t launch any use."
simple,A man didn’t air any career.
rel_clause,The man that John saw didn’t air any career.
adv_clause,"After the incident, a man didn’t air any career."
complex,"Although it was late, a man didn’t air any career."
simple,A district didn’t conduct any director.
rel_clause,The district that Mary saw didn’t conduct any director.
adv_clause,"After the incident, a district didn’t conduct any director."
complex,"Although it was late, a district didn’t conduct any director."
simple,A development didn’t support any football.
rel_clause,The development that Mary saw didn’t support any football.
adv_clause,"After the incident, a development didn’t support any football."
complex,"Although it was late, a development didn’t support any football."
simple,A number didn’t transfer any project.
rel_clause,The number that Sarah saw didn’t transfer any project.
adv_clause,"After the incident, a number didn’t transfer any project."
complex,"Although it was late, a number didn’t transfer any project."
simple,A area didn’t draw any light.
rel_clause,The area that Alex saw didn’t draw any light.
adv_clause,"After the incident, a area didn’t draw any light."
complex,"Although it was late, a area didn’t draw any light."
simple,A career didn’t create any set.
rel_clause,The career that David saw didn’t create any set.
adv_clause,"After the incident, a career didn’t create any set."
complex,"Although it was late, a career didn’t create any set."
simple,A city didn’t pick any place.
rel_clause,The city that Sarah saw didn’t pick any place.
adv_clause,"After the incident, a city didn’t pick any place."
complex,"Although it was late, a city didn’t pick any place."
simple,A side didn’t teach any death.
rel_clause,The side that Sarah saw didn’t teach any death.
adv_clause,"After the incident, a side didn’t teach any death."
complex,"Although it was late, a side didn’t teach any death."
simple,A member didn’t support any hair.
rel_clause,The member that Alex saw didn’t support any hair.
adv_clause,"After the incident, a member didn’t support any hair."
complex,"Although it was late, a member didn’t support any hair."
simple,A number didn’t spend any member.
rel_clause,The number that David saw didn’t spend any member.
adv_clause,"After the incident, a number didn’t spend any member."
complex,"Although it was late, a number didn’t spend any member."
simple,A role didn’t prevent any state.
rel_clause,The role that David saw didn’t prevent any state.
adv_clause,"After the incident, a role didn’t prevent any state."
complex,"Although it was late, a role didn’t prevent any state."
simple,A town didn’t conduct any wife.
rel_clause,The town that Sarah saw didn’t conduct any wife.
adv_clause,"After the incident, a town didn’t conduct any wife."
complex,"Although it was late, a town didn’t conduct any wife."
simple,A year didn’t lift any mind.
rel_clause,The year that Alex saw didn’t lift any mind.
adv_clause,"After the incident, a year didn’t lift any mind."
complex,"Although it was late, a year didn’t lift any mind."
simple,A team didn’t offer any mind.
rel_clause,The team that John saw didn’t offer any mind.
adv_clause,"After the incident, a team didn’t offer any mind."
complex,"Although it was late, a team didn’t offer any mind."
simple,A number didn’t abandon any mother.
rel_clause,The number that Alex saw didn’t abandon any mother.
adv_clause,"After the incident, a number didn’t abandon any mother."
complex,"Although it was late, a number didn’t abandon any mother."
simple,A law didn’t mark any story.
rel_clause,The law that John saw didn’t mark any story.
adv_clause,"After the incident, a law didn’t mark any story."
complex,"Although it was late, a law didn’t mark any story."
simple,A director didn’t offer any championship.
rel_clause,The director that Alex saw didn’t offer any championship.
adv_clause,"After the incident, a director didn’t offer any championship."
complex,"Although it was late, a director didn’t offer any championship."
simple,A head didn’t promote any arm.
rel_clause,The head that Alex saw didn’t promote any arm.
adv_clause,"After the incident, a head didn’t promote any arm."
complex,"Although it was late, a head didn’t promote any arm."
simple,A area didn’t build any face.
rel_clause,The area that John saw didn’t build any face.
adv_clause,"After the incident, a area didn’t build any face."
complex,"Although it was late, a area didn’t build any face."
simple,A team didn’t invite any society.
rel_clause,The team that Sarah saw didn’t invite any society.
adv_clause,"After the incident, a team didn’t invite any society."
complex,"Although it was late, a team didn’t invite any society."
simple,A season didn’t lift any woman.
rel_clause,The season that Alex saw didn’t lift any woman.
adv_clause,"After the incident, a season didn’t lift any woman."
complex,"Although it was late, a season didn’t lift any woman."
simple,A part didn’t adopt any championship.
rel_clause,The part that Mary saw didn’t adopt any championship.
adv_clause,"After the incident, a part didn’t adopt any championship."
complex,"Although it was late, a part didn’t adopt any championship."
simple,A hand didn’t adopt any brother.
rel_clause,The hand that John saw didn’t adopt any brother.
adv_clause,"After the incident, a hand didn’t adopt any brother."
complex,"Although it was late, a hand didn’t adopt any brother."
simple,A court didn’t sell any room.
rel_clause,The court that Mary saw didn’t sell any room.
adv_clause,"After the incident, a court didn’t sell any room."
complex,"Although it was late, a court didn’t sell any room."
simple,A road didn’t drive any record.
rel_clause,The road that Alex saw didn’t drive any record.
adv_clause,"After the incident, a road didn’t drive any record."
complex,"Although it was late, a road didn’t drive any record."
simple,A record didn’t include any rock.
rel_clause,The record that John saw didn’t include any rock.
adv_clause,"After the incident, a record didn’t include any rock."
complex,"Although it was late, a record didn’t include any rock."
simple,A system didn’t cross any district.
rel_clause,The system that Sarah saw didn’t cross any district.
adv_clause,"After the incident, a system didn’t cross any district."
complex,"Although it was late, a system didn’t cross any district."
simple,A face didn’t promote any station.
rel_clause,The face that Mary saw didn’t promote any station.
adv_clause,"After the incident, a face didn’t promote any station."
complex,"Although it was late, a face didn’t promote any station."
simple,A number didn’t ask any hand.
rel_clause,The number that John saw didn’t ask any hand.
adv_clause,"After the incident, a number didn’t ask any hand."
complex,"Although it was late, a number didn’t ask any hand."
simple,A office didn’t present any player.
rel_clause,The office that Mary saw didn’t present any player.
adv_clause,"After the incident, a office didn’t present any player."
complex,"Although it was late, a office didn’t present any player."
simple,A home didn’t invite any service.
rel_clause,The home that John saw didn’t invite any service.
adv_clause,"After the incident, a home didn’t invite any service."
complex,"Although it was late, a home didn’t invite any service."
simple,A number didn’t send any season.
rel_clause,The number that Alex saw didn’t send any season.
adv_clause,"After the incident, a number didn’t send any season."
complex,"Although it was late, a number didn’t send any season."
simple,A union didn’t grab any year.
rel_clause,The union that John saw didn’t grab any year.
adv_clause,"After the incident, a union didn’t grab any year."
complex,"Although it was late, a union didn’t grab any year."
simple,A version didn’t set any death.
rel_clause,The version that Alex saw didn’t set any death.
adv_clause,"After the incident, a version didn’t set any death."
complex,"Although it was late, a version didn’t set any death."
simple,A number didn’t throw any service.
rel_clause,The number that Mary saw didn’t throw any service.
adv_clause,"After the incident, a number didn’t throw any service."
complex,"Although it was late, a number didn’t throw any service."
simple,A name didn’t carry any age.
rel_clause,The name that Alex saw didn’t carry any age.
adv_clause,"After the incident, a name didn’t carry any age."
complex,"Although it was late, a name didn’t carry any age."
simple,A part didn’t promote any way.
rel_clause,The part that David saw didn’t promote any way.
adv_clause,"After the incident, a part didn’t promote any way."
complex,"Although it was late, a part didn’t promote any way."
simple,A year didn’t cut any woman.
rel_clause,The year that David saw didn’t cut any woman.
adv_clause,"After the incident, a year didn’t cut any woman."
complex,"Although it was late, a year didn’t cut any woman."
simple,A community didn’t remove any name.
rel_clause,The community that Mary saw didn’t remove any name.
adv_clause,"After the incident, a community didn’t remove any name."
complex,"Although it was late, a community didn’t remove any name."
simple,A arm didn’t answer any number.
rel_clause,The arm that Mary saw didn’t answer any number.
adv_clause,"After the incident, a arm didn’t answer any number."
complex,"Although it was late, a arm didn’t answer any number."
simple,A point didn’t conduct any football.
rel_clause,The point that Alex saw didn’t conduct any football.
adv_clause,"After the incident, a point didn’t conduct any football."
complex,"Although it was late, a point didn’t conduct any football."
simple,A community didn’t issue any career.
rel_clause,The community that John saw didn’t issue any career.
adv_clause,"After the incident, a community didn’t issue any career."
complex,"Although it was late, a community didn’t issue any career."
simple,A death didn’t destroy any rock.
rel_clause,The death that David saw didn’t destroy any rock.
adv_clause,"After the incident, a death didn’t destroy any rock."
complex,"Although it was late, a death didn’t destroy any rock."
simple,A program didn’t wear any century.
rel_clause,The program that Mary saw didn’t wear any century.
adv_clause,"After the incident, a program didn’t wear any century."
complex,"Although it was late, a program didn’t wear any century."
simple,A mind didn’t send any number.
rel_clause,The mind that Mary saw didn’t send any number.
adv_clause,"After the incident, a mind didn’t send any number."
complex,"Although it was late, a mind didn’t send any number."
simple,A area didn’t achieve any system.
rel_clause,The area that Sarah saw didn’t achieve any system.
adv_clause,"After the incident, a area didn’t achieve any system."
complex,"Although it was late, a area didn’t achieve any system."
simple,A game didn’t own any heart.
rel_clause,The game that John saw didn’t own any heart.
adv_clause,"After the incident, a game didn’t own any heart."
complex,"Although it was late, a game didn’t own any heart."
simple,A society didn’t join any form.
rel_clause,The society that David saw didn’t join any form.
adv_clause,"After the incident, a society didn’t join any form."
complex,"Although it was late, a society didn’t join any form."
simple,A development didn’t contain any woman.
rel_clause,The development that Alex saw didn’t contain any woman.
adv_clause,"After the incident, a development didn’t contain any woman."
complex,"Although it was late, a development didn’t contain any woman."
simple,A program didn’t launch any side.
rel_clause,The program that John saw didn’t launch any side.
adv_clause,"After the incident, a program didn’t launch any side."
complex,"Although it was late, a program didn’t launch any side."
simple,A door didn’t complete any thing.
rel_clause,The door that David saw didn’t complete any thing.
adv_clause,"After the incident, a door didn’t complete any thing."
complex,"Although it was late, a door didn’t complete any thing."
simple,A church didn’t present any day.
rel_clause,The church that David saw didn’t present any day.
adv_clause,"After the incident, a church didn’t present any day."
complex,"Although it was late, a church didn’t present any day."
simple,A director didn’t wear any season.
rel_clause,The director that Mary saw didn’t wear any season.
adv_clause,"After the incident, a director didn’t wear any season."
complex,"Although it was late, a director didn’t wear any season."
simple,A development didn’t obtain any law.
rel_clause,The development that Mary saw didn’t obtain any law.
adv_clause,"After the incident, a development didn’t obtain any law."
complex,"Although it was late, a development didn’t obtain any law."
simple,A fire didn’t keep any music.
rel_clause,The fire that David saw didn’t keep any music.
adv_clause,"After the incident, a fire didn’t keep any music."
complex,"Although it was late, a fire didn’t keep any music."
simple,A place didn’t contain any air.
rel_clause,The place that David saw didn’t contain any air.
adv_clause,"After the incident, a place didn’t contain any air."
complex,"Although it was late, a place didn’t contain any air."
simple,A century didn’t air any hair.
rel_clause,The century that John saw didn’t air any hair.
adv_clause,"After the incident, a century didn’t air any hair."
complex,"Although it was late, a century didn’t air any hair."
simple,A court didn’t occupy any air.
rel_clause,The court that Mary saw didn’t occupy any air.
adv_clause,"After the incident, a court didn’t occupy any air."
complex,"Although it was late, a court didn’t occupy any air."
simple,A light didn’t raise any home.
rel_clause,The light that Sarah saw didn’t raise any home.
adv_clause,"After the incident, a light didn’t raise any home."
complex,"Although it was late, a light didn’t raise any home."
simple,A use didn’t form any point.
rel_clause,The use that Alex saw didn’t form any point.
adv_clause,"After the incident, a use didn’t form any point."
complex,"Although it was late, a use didn’t form any point."
simple,A war didn’t throw any country.
rel_clause,The war that Sarah saw didn’t throw any country.
adv_clause,"After the incident, a war didn’t throw any country."
complex,"Although it was late, a war didn’t throw any country."
simple,A member didn’t cross any area.
rel_clause,The member that Sarah saw didn’t cross any area.
adv_clause,"After the incident, a member didn’t cross any area."
complex,"Although it was late, a member didn’t cross any area."
simple,A country didn’t abandon any title.
rel_clause,The country that Alex saw didn’t abandon any title.
adv_clause,"After the incident, a country didn’t abandon any title."
complex,"Although it was late, a country didn’t abandon any title."
simple,A season didn’t attend any place.
rel_clause,The season that Sarah saw didn’t attend any place.
adv_clause,"After the incident, a season didn’t attend any place."
complex,"Although it was late, a season didn’t attend any place."
simple,A city didn’t award any hand.
rel_clause,The city that Sarah saw didn’t award any hand.
adv_clause,"After the incident, a city didn’t award any hand."
complex,"Although it was late, a city didn’t award any hand."
simple,A program didn’t award any city.
rel_clause,The program that Sarah saw didn’t award any city.
adv_clause,"After the incident, a program didn’t award any city."
complex,"Although it was late, a program didn’t award any city."
simple,A period didn’t present any district.
rel_clause,The period that Sarah saw didn’t present any district.
adv_clause,"After the incident, a period didn’t present any district."
complex,"Although it was late, a period didn’t present any district."
simple,A church didn’t handle any war.
rel_clause,The church that David saw didn’t handle any war.
adv_clause,"After the incident, a church didn’t handle any war."
complex,"Although it was late, a church didn’t handle any war."
simple,A land didn’t represent any wife.
rel_clause,The land that David saw didn’t represent any wife.
adv_clause,"After the incident, a land didn’t represent any wife."
complex,"Although it was late, a land didn’t represent any wife."
simple,A girl didn’t raise any story.
rel_clause,The girl that Sarah saw didn’t raise any story.
adv_clause,"After the incident, a girl didn’t raise any story."
complex,"Although it was late, a girl didn’t raise any story."
simple,A position didn’t reduce any university.
rel_clause,The position that Alex saw didn’t reduce any university.
adv_clause,"After the incident, a position didn’t reduce any university."
complex,"Although it was late, a position didn’t reduce any university."
simple,A head didn’t tell any player.
rel_clause,The head that John saw didn’t tell any player.
adv_clause,"After the incident, a head didn’t tell any player."
complex,"Although it was late, a head didn’t tell any player."
simple,A role didn’t abandon any thing.
rel_clause,The role that Sarah saw didn’t abandon any thing.
adv_clause,"After the incident, a role didn’t abandon any thing."
complex,"Although it was late, a role didn’t abandon any thing."
simple,A championship didn’t mark any division.
rel_clause,The championship that John saw didn’t mark any division.
adv_clause,"After the incident, a championship didn’t mark any division."
complex,"Although it was late, a championship didn’t mark any division."
simple,A production didn’t replace any state.
rel_clause,The production that Mary saw didn’t replace any state.
adv_clause,"After the incident, a production didn’t replace any state."
complex,"Although it was late, a production didn’t replace any state."
simple,A girl didn’t complete any school.
rel_clause,The girl that Alex saw didn’t complete any school.
adv_clause,"After the incident, a girl didn’t complete any school."
complex,"Although it was late, a girl didn’t complete any school."
simple,A project didn’t invite any law.
rel_clause,The project that Alex saw didn’t invite any law.
adv_clause,"After the incident, a project didn’t invite any law."
complex,"Although it was late, a project didn’t invite any law."
simple,A face didn’t destroy any word.
rel_clause,The face that Alex saw didn’t destroy any word.
adv_clause,"After the incident, a face didn’t destroy any word."
complex,"Although it was late, a face didn’t destroy any word."
simple,A year didn’t share any hair.
rel_clause,The year that John saw didn’t share any hair.
adv_clause,"After the incident, a year didn’t share any hair."
complex,"Although it was late, a year didn’t share any hair."
simple,A force didn’t grab any title.
rel_clause,The force that Alex saw didn’t grab any title.
adv_clause,"After the incident, a force didn’t grab any title."
complex,"Although it was late, a force didn’t grab any title."
simple,A system didn’t offer any air.
rel_clause,The system that Alex saw didn’t offer any air.
adv_clause,"After the incident, a system didn’t offer any air."
complex,"Although it was late, a system didn’t offer any air."
simple,A district didn’t share any university.
rel_clause,The district that Mary saw didn’t share any university.
adv_clause,"After the incident, a district didn’t share any university."
complex,"Although it was late, a district didn’t share any university."
simple,A court didn’t attend any government.
rel_clause,The court that John saw didn’t attend any government.
adv_clause,"After the incident, a court didn’t attend any government."
complex,"Although it was late, a court didn’t attend any government."
simple,A football didn’t establish any brother.
rel_clause,The football that Mary saw didn’t establish any brother.
adv_clause,"After the incident, a football didn’t establish any brother."
complex,"Although it was late, a football didn’t establish any brother."
simple,A family didn’t represent any eye.
rel_clause,The family that Sarah saw didn’t represent any eye.
adv_clause,"After the incident, a family didn’t represent any eye."
complex,"Although it was late, a family didn’t represent any eye."
simple,A set didn’t paint any division.
rel_clause,The set that John saw didn’t paint any division.
adv_clause,"After the incident, a set didn’t paint any division."
complex,"Although it was late, a set didn’t paint any division."
simple,A century didn’t promote any way.
rel_clause,The century that David saw didn’t promote any way.
adv_clause,"After the incident, a century didn’t promote any way."
complex,"Although it was late, a century didn’t promote any way."
simple,A book didn’t remove any number.
rel_clause,The book that David saw didn’t remove any number.
adv_clause,"After the incident, a book didn’t remove any number."
complex,"Although it was late, a book didn’t remove any number."
simple,A country didn’t mark any level.
rel_clause,The country that Sarah saw didn’t mark any level.
adv_clause,"After the incident, a country didn’t mark any level."
complex,"Although it was late, a country didn’t mark any level."
simple,A division didn’t handle any record.
rel_clause,The division that Alex saw didn’t handle any record.
adv_clause,"After the incident, a division didn’t handle any record."
complex,"Although it was late, a division didn’t handle any record."
simple,A set didn’t fix any class.
rel_clause,The set that Mary saw didn’t fix any class.
adv_clause,"After the incident, a set didn’t fix any class."
complex,"Although it was late, a set didn’t fix any class."
simple,A summer didn’t support any side.
rel_clause,The summer that John saw didn’t support any side.
